symbol,ensembl_id,geneformer_threshold,nicheformer_threshold
A4GALT,ENSG00000128274,2.0046535599554747,2.326754502683758
AACS,ENSG00000081760,2.2760303784288314,1.7193780907236447
AADAT,ENSG00000109576,3.1382430349468717,1.8261031829691114
AASS,ENSG00000008311,3.4920045601793643,2.851553583754075
ABAT,ENSG00000183044,4.805038730449241,2.2005218251853607
ABCD1,ENSG00000101986,1.7959225401078531,2.6087968078677757
ABCD3,ENSG00000117528,2.8557583397517052,2.2977338012319937
ACAA1,ENSG00000060971,2.175383198214221,2.300336584568329
ACAA2,ENSG00000167315,2.0913989084608526,2.655138661857416
ACACA,ENSG00000278540,2.2226638503248637,3.6529465724172456
ACACB,ENSG00000076555,4.098952917878642,4.9194786845495155
ACAD10,ENSG00000111271,3.067234755497277,1.7315705397107939
ACAD11,ENSG00000240303,3.925403124120438,1.7532579805130435
ACAD8,ENSG00000151498,1.8746731592800356,3.2122613942322027
ACAD9,ENSG00000177646,1.9646803297086528,1.6371033810378335
ACADL,ENSG00000115361,3.251126143321642,3.019142048976933
ACADM,ENSG00000117054,2.4205533502043095,2.4655256080272765
ACADS,ENSG00000122971,1.8171345296930157,2.4977615757617855
ACADSB,ENSG00000196177,3.049712816308632,1.9177303872936917
ACAT1,ENSG00000075239,2.443803051236963,2.6358895264980258
ACAT2,ENSG00000120437,2.4828686028132956,3.0475105925874435
ACMSD,ENSG00000153086,5.650080918476588,2.1186508491663756
ACO1,ENSG00000122729,2.141127241423016,2.215277080334894
ACO2,ENSG00000100412,2.2674653725416154,2.6719700663689983
ACOX1,ENSG00000161533,2.323721158419574,2.3083822252982142
ACOX2,ENSG00000168306,1.9300696855140456,2.2910888427311478
ACSBG2,ENSG00000130377,12.585757844197442,1.3911482420901315
ACSL1,ENSG00000151726,3.4985397921963015,3.583029466075588
ACSL3,ENSG00000123983,3.316367255053865,3.135733833934494
ACSL4,ENSG00000068366,3.3314495900964483,2.7442884571936883
ACSL5,ENSG00000197142,2.104935594877695,2.950727828476914
ACSL6,ENSG00000164398,3.455326416229215,2.1435872862497742
ADH1A,ENSG00000187758,10.172968991994038,2.0258222575242897
ADH1B,ENSG00000196616,15.868968047747137,6.336903230541568
ADH1C,ENSG00000248144,13.020968519870587,7.846619152563438
ADH4,ENSG00000198099,9.721897019337906,2.82669453712461
ADH5,ENSG00000197894,2.511948529371983,3.249895399179793
ADH6,ENSG00000172955,5.595227592261166,2.3880682699500886
ADH7,ENSG00000196344,2.826657087282337,15.149750118211397
ADHFE1,ENSG00000147576,3.110675000127901,2.963947598280942
ADK,ENSG00000156110,4.672755373710219,4.353295806410239
ADSL,ENSG00000239900,1.9321510167375775,2.047702397992282
ADSS1,ENSG00000185100,1.9220834320942697,2.211174779292178
ADSS2,ENSG00000035687,2.274266553239991,2.308624529563575
AFMID,ENSG00000183077,2.1447382511921416,1.9379046954828525
AGA,ENSG00000038002,1.892188218789432,2.105271683878199
AGL,ENSG00000162688,2.8743502760076365,2.1594252984702735
AGPAT1,ENSG00000204310,1.7631909527075178,1.7760993679759844
AGPAT2,ENSG00000169692,1.969777144220913,2.8230086072930884
AGPAT3,ENSG00000160216,2.9685260406562537,2.4622605433793052
AGPAT4,ENSG00000026652,4.606181351778536,3.0367606275232966
AGPAT5,ENSG00000155189,2.934811121390651,2.212951051885915
AGXT,ENSG00000172482,15.233997641714756,6.899230517652567
AHCY,ENSG00000101444,2.046556484262351,2.1461192645007645
AHCYL1,ENSG00000168710,2.4999264784598783,2.4449217808750228
AK1,ENSG00000106992,2.0482737766944887,2.4114677315273556
AK2,ENSG00000004455,2.1182865954791814,2.5834065513145332
AK5,ENSG00000154027,4.4904391617827075,4.665716659461038
AK7,ENSG00000140057,2.6079663679374803,1.714032332763601
AKR1A1,ENSG00000117448,2.5585532625272633,3.9541404588450235
AKR1B1,ENSG00000085662,2.5306958464002225,3.134951837347829
AKR1C4,ENSG00000198610,12.685869431559512,1.7097060648446079
AKR1D1,ENSG00000122787,3.66704391590413,3.0578771816963317
AKR7A2,ENSG00000053371,2.0290704641843225,2.286010853207854
ALAD,ENSG00000148218,2.155011585949272,2.196149827307899
ALAS1,ENSG00000023330,2.1251564936170855,2.428679881714899
ALAS2,ENSG00000158578,15.296353729110322,5.304826508954621
ALDH18A1,ENSG00000059573,1.9705990393577573,1.7092483564309267
ALDH1A1,ENSG00000165092,4.092927207819942,4.678129844445368
ALDH1A2,ENSG00000128918,4.327032895414436,3.2386433752210837
ALDH1A3,ENSG00000184254,3.862055003981959,4.020058117920736
ALDH1B1,ENSG00000137124,1.4570442676888895,3.3380072908478313
ALDH1L1,ENSG00000144908,4.239590186364617,2.8220948953326137
ALDH1L2,ENSG00000136010,3.1337740420451112,1.4426392742207583
ALDH2,ENSG00000111275,3.4671091365806097,3.5175748794032122
ALDH3A1,ENSG00000108602,11.051658865034629,5.358832001112674
ALDH3A2,ENSG00000072210,2.7708348047976203,2.0218541214812267
ALDH3B1,ENSG00000006534,1.7322299360258242,2.5130125717659064
ALDH3B2,ENSG00000132746,1.3385614154558192,1.845728348053255
ALDH4A1,ENSG00000159423,1.6236531253418818,1.6474303272539377
ALDH5A1,ENSG00000112294,2.562417282340957,8.210791688478656
ALDH6A1,ENSG00000119711,2.412733302585897,2.434322121078384
ALDH7A1,ENSG00000164904,2.6394009132560727,2.4344961009278285
ALDH9A1,ENSG00000143149,2.211023613872065,2.210407136134866
ALDOA,ENSG00000149925,6.228438898476751,6.757330021696781
ALDOB,ENSG00000136872,28.348394982704896,11.731544337124916
ALDOC,ENSG00000109107,3.307865355945318,3.6697461956262707
AMACR,ENSG00000242110,2.0697138109581705,2.444305663108624
AMD1,ENSG00000123505,2.721053399204193,2.8273965459620394
AMDHD1,ENSG00000139344,5.446295330581973,1.9629769093887324
AMT,ENSG00000145020,2.0740636439312685,1.5700868651053403
AMY1A,ENSG00000237763,1.3390462897290811,2.0272147723817975
AMY1B,ENSG00000174876,1.3792825301907252,1.8455190934855887
AMY1C,ENSG00000187733,1.1300150434998548,0.8690836889997767
AMY2A,ENSG00000243480,2.7208485202053736,9.256871105854064
AMY2B,ENSG00000240038,3.3890295565866846,1.6562480535602297
AOC1,ENSG00000002726,3.969852828440808,2.257539023881203
AOC2,ENSG00000131480,1.9655206441711708,1.1071372216995876
AOC3,ENSG00000131471,3.577173134369171,3.806715959944549
