Task,System,Subsystem
(R)-3-Hydroxybutanoate synthesis,CARBOHYDRATES METABOLISM,KETOGENESIS
3'-Phospho-5'-adenylyl sulfate synthesis,NUCLEOTIDE METABOLISM,COFACTOR
AMP salvage from adenine,NUCLEOTIDE METABOLISM,SALVAGE
ATP generation from glucose (hypoxic conditions) - glycolysis,ENERGY METABOLISM,ATP GENERATION
ATP regeneration from glucose (normoxic conditions) - glycolysis + krebs cycle,ENERGY METABOLISM,ATP GENERATION
Acetoacetate synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM
Alanine degradation,AMINO ACIDS METABOLISM,ALANINE METABOLISM
Alanine synthesis,AMINO ACIDS METABOLISM,ALANINE METABOLISM
Arachidonate degradation,LIPIDS METABOLISM,FATTY ACID METABOLISM
Arachidonate synthesis,LIPIDS METABOLISM,FATTY ACID METABOLISM
Arginine degradation,AMINO ACIDS METABOLISM,ARGININE METABOLISM
Arginine synthesis,AMINO ACIDS METABOLISM,ARGININE METABOLISM
Asparagine degradation,AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM
Asparagine synthesis,AMINO ACIDS METABOLISM,ASPARAGINE METABOLISM
Aspartate degradation,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM
Aspartate synthesis,AMINO ACIDS METABOLISM,ASPARTATE METABOLISM
Beta-alanine to 3-oxopropanoate,AMINO ACIDS METABOLISM,BETA-ALANINE METABOLISM
Biosynthesis of Tn_antigen (Glycoprotein N-acetyl-D-galactosamine),GLYCAN METABOLISM,O-GLYCAN METABOLISM
"Biosynthesis of core2 (beta-D-Galactosyl-1,3-(N-acetyl-beta-D-glucosaminyl-1,6)-N-acetyl-D-galactosaminyl-R)",GLYCAN METABOLISM,O-GLYCAN METABOLISM
"Biosynthesis of core4 (N-Acetyl-beta-D-glucosaminyl-1,6-(N-acetyl-beta-D-glucosaminyl-1,3)-N-acetyl-D-galactosaminyl-R)",GLYCAN METABOLISM,O-GLYCAN METABOLISM
Branching (N-acetylglucosaminyltransferases),Processing in the Golgi,N-glycan processing (Golgi)
CMP-N-acetylneuraminate synthesis,CARBOHYDRATES METABOLISM,AMINO SUGARS METABOLISM
Calnexin/calreticulin cycle,Processing in the ER,Protein folding
Cardiolipin synthesis,LIPIDS METABOLISM,GLYCEROPHOSPHOLIPID METABOLISM
Ceramide synthesis,LIPIDS METABOLISM,SPHINGOLIPID METABOLISM
Cholesterol synthesis,LIPIDS METABOLISM,CHOLESTEROL METABOLISM
Co-translational translocation,Translocation,Translocation
