symbol,ensembl_id,sccellfie_threshold
A4GALT,ENSG00000128274,2.7434222500947496
A4GNT,ENSG00000118017,1.6344010342425577
AAAS,ENSG00000094914,1.9478801686818996
AACS,ENSG00000081760,1.6870621573402569
AADAC,ENSG00000114771,3.544842
AADAT,ENSG00000109576,1.6705899342381512
AANAT,ENSG00000129673,2.668331789237605
AARS,ENSG00000090861,1.5133883867692215
AASDH,ENSG00000157426,1.8667033174940808
AASDHPPT,ENSG00000149313,2.1483055907223765
AASS,ENSG00000008311,3.1092747595559014
ABAT,ENSG00000183044,2.5550576262433062
ABCA1,ENSG00000165029,3.544842
ABCA3,ENSG00000167972,2.6190248423595905
ABCA4,ENSG00000198691,3.544842
ABCA8,ENSG00000141338,3.544842
ABCB1,ENSG00000085563,2.6220818696963235
ABCB11,ENSG00000073734,3.544842
ABCB4,ENSG00000005471,3.482104108602041
ABCB6,ENSG00000115657,0.9250155108017966
ABCC1,ENSG00000103222,2.448179435640028
ABCC11,ENSG00000121270,2.487537236097159
ABCC2,ENSG00000023839,2.877393451459851
ABCC3,ENSG00000108846,2.8049614255026243
ABCC4,ENSG00000125257,3.26026893226242
ABCC5,ENSG00000114770,2.8056845738984246
ABCC8,ENSG00000006071,1.5245853875402926
ABCC9,ENSG00000069431,3.544842
ABCD1,ENSG00000101986,1.6970985230794344
ABCD2,ENSG00000173208,1.942494541154694
ABCD3,ENSG00000117528,2.352989056414956
ABCG1,ENSG00000160179,2.354716052059433
ABCG2,ENSG00000118777,3.3002736304690448
ABCG5,ENSG00000138075,1.329310377407062
ABCG8,ENSG00000143921,0.9769477874540168
ABHD12,ENSG00000100997,2.202880614034545
ABHD5,ENSG00000011198,2.0857572188836886
ABHD6,ENSG00000163686,1.9776234893885611
ABO,ENSG00000175164,1.6130960126501894
ABTB2,ENSG00000166016,3.544842
ACAA1,ENSG00000060971,1.999946416570543
ACAA2,ENSG00000167315,2.614483333243641
ACACA,ENSG00000278540,3.2594388850621576
ACACB,ENSG00000076555,3.544842
ACAD10,ENSG00000111271,1.9850568916365257
ACAD11,ENSG00000240303,1.9702096713117867
ACAD8,ENSG00000151498,1.4414440331077043
ACAD9,ENSG00000177646,1.6351436761761944
ACADL,ENSG00000115361,2.480963843721042
ACADM,ENSG00000117054,2.220126192570024
ACADS,ENSG00000122971,1.9775229069743263
ACADSB,ENSG00000196177,1.872207106290137
ACADVL,ENSG00000072778,2.9087695758667467
ACAT1,ENSG00000075239,2.2107916581144837
ACAT2,ENSG00000120437,2.547781640558476
ACE,ENSG00000159640,1.650393165239869
ACE2,ENSG00000130234,3.4652238811306044
ACER1,ENSG00000167769,1.209176774636248
ACER2,ENSG00000177076,1.7975642462408783
ACER3,ENSG00000078124,2.9796629927323184
ACHE,ENSG00000087085,1.6317470819101656
ACLY,ENSG00000131473,1.6696463692287813
ACMSD,ENSG00000153086,1.7656305358003577
ACO1,ENSG00000122729,1.908501141159069
ACO2,ENSG00000100412,2.2235999707344
ACOD1,ENSG00000102794,2.061804264688749
ACOT1,ENSG00000184227,1.0924075405911364
ACOT11,ENSG00000162390,2.41562664868948
ACOT12,ENSG00000172497,1.9150090367543888
ACOT13,ENSG00000112304,1.8387318314453116
ACOT2,ENSG00000119673,1.704928035688396
ACOT4,ENSG00000177465,1.2705812156937215
ACOT6,ENSG00000205669,0.8305850555159349
ACOT7,ENSG00000097021,2.109034191589444
ACOT8,ENSG00000101473,1.6480821964256378
ACOT9,ENSG00000123130,1.888552866894789
ACOX1,ENSG00000161533,2.042783059672172
ACOX2,ENSG00000168306,1.992215947150877
ACOX3,ENSG00000087008,1.523943020930653
ACP1,ENSG00000143727,2.426743034156486
ACP2,ENSG00000134575,1.7281766232510964
ACPP,ENSG00000014257,3.544842
ACP4,ENSG00000142513,0.8708609641556482
ACP5,ENSG00000102575,3.544842
ACP6,ENSG00000162836,1.287014495132818
ACP7,ENSG00000183760,1.4274690131766128
ACSBG1,ENSG00000103740,3.544842
ACSBG2,ENSG00000130377,1.6557412597786587
ACSF2,ENSG00000167107,2.949108421353897
ACSF3,ENSG00000176715,1.6984717683761603
ACSL1,ENSG00000151726,3.157294339182996
ACSL3,ENSG00000123983,3.144003586910509
ACSL4,ENSG00000068366,2.970790453405676
ACSL5,ENSG00000197142,2.513344718889304
ACSL6,ENSG00000164398,2.439771317727822
ACSM1,ENSG00000166743,3.4299773006982397
ACSM2A,ENSG00000183747,3.544842
ACSM2B,ENSG00000066813,3.544842
ACSM3,ENSG00000005187,3.544842
ACSM4,ENSG00000215009,1.0760911516776148
ACSM5,ENSG00000183549,2.904158868183292
ACSS1,ENSG00000154930,3.198781832265497
ACSS2,ENSG00000131069,2.169709804406984
ACSS3,ENSG00000111058,3.289256732936565
ACY1,ENSG00000243989,1.969951557947174
ACY3,ENSG00000132744,3.0484131919053463
ACYP1,ENSG00000119640,1.8839140394074043
ACYP2,ENSG00000170634,3.544842
ADA,ENSG00000196839,3.3967456807312493
ADA2,ENSG00000093072,2.675177217136727
ADCY1,ENSG00000164742,3.544842
ADCY10,ENSG00000143199,0.984574097620656
ADCY2,ENSG00000078295,3.544842
ADCY3,ENSG00000138031,1.9422219199659567
ADCY4,ENSG00000129467,3.494249654438791
ADCY5,ENSG00000173175,2.5498018563482754
ADCY6,ENSG00000174233,1.8172976766778453
ADCY7,ENSG00000121281,2.6501594096635976
ADCY8,ENSG00000155897,3.5345368132821737
ADCY9,ENSG00000162104,2.8981021718947635
ADH1A,ENSG00000187758,3.544842
ADH1B,ENSG00000196616,3.544842
ADH1C,ENSG00000248144,3.544842
ADH4,ENSG00000198099,3.544842
ADH5,ENSG00000197894,2.5043280474864886
ADH6,ENSG00000172955,3.544842
ADH7,ENSG00000196344,3.544842
ADHFE1,ENSG00000147576,2.0278320041262745
ADI1,ENSG00000182551,2.497564753178129
ADK,ENSG00000156110,3.544842
ADO,ENSG00000181915,1.6370900657725744
ADPGK,ENSG00000159322,2.1250699765349963
ADPRH,ENSG00000144843,1.881609395582962
ADPRM,ENSG00000170222,1.8050189698329
ADSL,ENSG00000239900,1.993685453382946
ADSS2,ENSG00000035687,1.9129478593194869
ADSSL1,ENSG00000185100,1.6577186896043756
AFMID,ENSG00000183077,2.06456334397417
AGA,ENSG00000038002,1.887217254392321
AGK,ENSG00000006530,1.9081380272414448
AGL,ENSG00000162688,2.248502270627025
AGMAT,ENSG00000116771,1.7387224634437148
AGPAT1,ENSG00000204310,1.4080430548010117
AGPAT2,ENSG00000169692,2.290017451052594
AGPAT3,ENSG00000160216,2.399751568342806
AGPAT4,ENSG00000026652,3.492419988662003
AGPAT5,ENSG00000155189,2.4288259496521394
AGPS,ENSG00000018510,2.271669165250336
AGXT,ENSG00000172482,3.544842
AGXT2,ENSG00000113492,3.544842
AHCTF1,ENSG00000153207,2.3001637413158016
AHCY,ENSG00000101444,2.164438181656884
AHCYL1,ENSG00000168710,2.543864010257977
AHCYL2,ENSG00000158467,3.544842
AICDA,ENSG00000111732,2.21860654213213
AK1,ENSG00000106992,2.2067728440140355
AK2,ENSG00000004455,2.1684674592175903
AK3,ENSG00000147853,2.6289293316193225
AK4,ENSG00000162433,1.822934789923044
AK5,ENSG00000154027,3.544842
AK6,ENSG00000085231,1.9072853781397665
AK7,ENSG00000140057,1.5242346648898593
AK8,ENSG00000165695,1.5550798976828148
AK9,ENSG00000155085,2.220210789960797
AKR1A1,ENSG00000117448,2.7765079131102057
AKR1B1,ENSG00000085662,2.882899931078142
AKR1B10,ENSG00000198074,3.544842
AKR1B15,ENSG00000227471,2.5004793978961275
AKR1C1,ENSG00000187134,3.544842
AKR1C2,ENSG00000151632,3.544842
AKR1C3,ENSG00000196139,3.265301526414817
AKR1C4,ENSG00000198610,3.544842
AKR1D1,ENSG00000122787,3.068657890211379
AKR7A2,ENSG00000053371,2.0776881827962264
AKR7A3,ENSG00000162482,2.4526376909673067
ALAD,ENSG00000148218,1.8606873789316432
ALAS1,ENSG00000023330,2.444796609582863
ALAS2,ENSG00000158578,3.544842
ALB,ENSG00000163631,3.544842
ALDH18A1,ENSG00000059573,1.758369471621007
ALDH1A1,ENSG00000165092,3.544842
ALDH1A2,ENSG00000128918,3.544842
ALDH1A3,ENSG00000184254,3.544842
ALDH1B1,ENSG00000137124,2.119561871018919
ALDH1L1,ENSG00000144908,3.516455675486224
ALDH1L2,ENSG00000136010,1.4365916689383746
ALDH2,ENSG00000111275,3.052985019722677
ALDH3A1,ENSG00000108602,3.544842
ALDH3A2,ENSG00000072210,2.4688775856714065
ALDH3B1,ENSG00000006534,2.475249412477459
ALDH3B2,ENSG00000132746,1.7146154629939614
ALDH4A1,ENSG00000159423,1.9352394594435576
ALDH5A1,ENSG00000112294,1.4917220659221062
ALDH6A1,ENSG00000119711,2.242677263140333
