symbol,ensembl_id,sccellfie_threshold
A4galt,ENSMUSG00000047878,2.493392887492253
A4gnt,ENSMUSG00000037953,0.911013001
Aaas,ENSMUSG00000036678,1.4732659157184338
Aacs,ENSMUSG00000029482,1.6024100680695
Aadac,ENSMUSG00000027761,3.344482
Aadat,ENSMUSG00000057228,2.7170193739054325
Aanat,ENSMUSG00000020804,0.9635438620868174
Aars1,ENSMUSG00000031960,1.671185458666224
Aasdh,ENSMUSG00000055923,1.524130379
Aasdhppt,ENSMUSG00000025894,1.4335514259856958
Aass,ENSMUSG00000029695,3.344482
Abat,ENSMUSG00000057880,2.3246732534021923
Abca1,ENSMUSG00000015243,3.344482
Abca3,ENSMUSG00000024130,1.8007487561630795
Abca4,ENSMUSG00000028125,3.344482
Abca8b,ENSMUSG00000020620,2.108122441120302
Abcb11,ENSMUSG00000027048,1.2151442631102662
Abcb1a,ENSMUSG00000040584,3.344482
Abcb4,ENSMUSG00000042476,1.8220185592748932
Abcb6,ENSMUSG00000026198,1.1349997866408914
Abcc1,ENSMUSG00000023088,1.895718888899544
Abcc2,ENSMUSG00000025194,3.344482
Abcc3,ENSMUSG00000020865,2.157937763054824
Abcc4,ENSMUSG00000032849,2.1886798779447
Abcc5,ENSMUSG00000022822,2.488818973701028
Abcc8,ENSMUSG00000040136,1.92710806116626
Abcc9,ENSMUSG00000030249,3.344482
Abcd1,ENSMUSG00000031378,1.5600565940206272
Abcd2,ENSMUSG00000055782,2.131667628370121
Abcd3,ENSMUSG00000028127,1.990164489456006
Abcg1,ENSMUSG00000024030,1.993303267
Abcg2,ENSMUSG00000029802,2.9950175558036243
Abcg5,ENSMUSG00000040505,1.2467202689811088
Abcg8,ENSMUSG00000024254,2.5575202735034366
Abhd12,ENSMUSG00000032046,2.8068071413213214
Abhd5,ENSMUSG00000032540,1.558955698191255
Abhd6,ENSMUSG00000025277,1.8312641064061983
Abo,ENSMUSG00000015787,2.219849799742359
Abtb2,ENSMUSG00000032724,3.051038289439873
Acaa1a,ENSMUSG00000036138,1.9356197855257544
Acaa1b,ENSMUSG00000010651,3.344482
Acaa2,ENSMUSG00000036880,2.936154326
Acaca,ENSMUSG00000020532,2.6540202940700937
Acacb,ENSMUSG00000042010,3.325717806535034
Acad10,ENSMUSG00000029456,1.49513150646502
Acad11,ENSMUSG00000090150,1.3093587427395226
Acad8,ENSMUSG00000031969,1.5397177659834531
Acad9,ENSMUSG00000027710,1.385365609
Acadl,ENSMUSG00000026003,2.708503541
Acadm,ENSMUSG00000062908,2.394512925734221
Acads,ENSMUSG00000029545,1.8295301138857376
Acadsb,ENSMUSG00000030861,1.8640347107643689
Acadvl,ENSMUSG00000018574,1.9721392382558145
Acat1,ENSMUSG00000032047,2.433795289250083
Acat2,ENSMUSG00000023832,1.6746590635583003
Acat3,ENSMUSG00000062480,1.241797510152411
Ace,ENSMUSG00000020681,3.344482
Ace2,ENSMUSG00000015405,2.895483201250083
Acer1,ENSMUSG00000045019,3.3311655615979814
Acer2,ENSMUSG00000038007,2.105213610927909
Acer3,ENSMUSG00000030760,2.4036035590017555
Ache,ENSMUSG00000023328,1.7812703348553156
Acly,ENSMUSG00000020917,1.985437295651586
Acmsd,ENSMUSG00000026348,3.344482
Aco1,ENSMUSG00000028405,1.668212545013903
Aco2,ENSMUSG00000022477,2.430018036623625
Acod1,ENSMUSG00000022126,3.344482
Acot1,ENSMUSG00000072949,2.2155406800801707
Acot10,ENSMUSG00000047565,0.842318
Acot11,ENSMUSG00000034853,2.5290109327687684
Acot12,ENSMUSG00000021620,3.190195235200414
Acot13,ENSMUSG00000006717,1.9600505395805523
Acot2,ENSMUSG00000021226,1.434084074204346
Acot4,ENSMUSG00000052392,1.5842046356557693
Acot6,ENSMUSG00000043487,1.3743051094252106
Acot7,ENSMUSG00000028937,2.6643992565419823
Acot8,ENSMUSG00000017307,1.5024461418187505
Acot9,ENSMUSG00000025287,1.719193033092738
Acox1,ENSMUSG00000020777,2.213645579754853
Acox2,ENSMUSG00000021751,2.868271682008475
Acox3,ENSMUSG00000029098,1.6774009145308513
Acp1,ENSMUSG00000044573,2.4875091475587583
Acp2,ENSMUSG00000002103,1.5255737812606516
Acp3,ENSMUSG00000032561,2.289930647886205
Acp4,ENSMUSG00000012777,1.2796637880673216
Acp5,ENSMUSG00000001348,3.203776197562731
Acp6,ENSMUSG00000028093,1.5776153361805516
Acp7,ENSMUSG00000037469,1.0544056016689054
Acsbg1,ENSMUSG00000032281,3.344482
Acsbg2,ENSMUSG00000024207,0.842318
Acsf2,ENSMUSG00000076435,1.9474523003243984
Acsf3,ENSMUSG00000015016,1.2043424782809096
Acsl1,ENSMUSG00000018796,3.023242679211429
Acsl3,ENSMUSG00000032883,2.554544383137604
Acsl4,ENSMUSG00000031278,1.7576607591198166
Acsl5,ENSMUSG00000024981,1.5029685862780475
Acsl6,ENSMUSG00000020333,1.9279610072282864
Acsm1,ENSMUSG00000033533,3.344482
Acsm2,ENSMUSG00000030945,3.344482
Acsm3,ENSMUSG00000030935,2.6348612430940395
Acsm4,ENSMUSG00000047026,1.33512682
Acsm5,ENSMUSG00000030972,3.344482
Acss1,ENSMUSG00000027452,2.774798798616989
Acss2,ENSMUSG00000027605,2.1278958096376868
Acss3,ENSMUSG00000035948,3.344482
Acy1,ENSMUSG00000023262,1.542926194670968
Acy3,ENSMUSG00000024866,3.344482
Acyp1,ENSMUSG00000008822,1.5141427842206865
Acyp2,ENSMUSG00000060923,2.514942688690448
Ada,ENSMUSG00000017697,2.306594796174025
Adcy1,ENSMUSG00000020431,3.344482
Adcy10,ENSMUSG00000026567,2.017293373679025
Adcy2,ENSMUSG00000021536,3.344482
Adcy3,ENSMUSG00000020654,1.5757428228681818
Adcy4,ENSMUSG00000022220,2.9786447034080963
Adcy5,ENSMUSG00000022840,1.7325477960197968
Adcy6,ENSMUSG00000022994,1.4418516306313696
Adcy7,ENSMUSG00000031659,2.7164138147323613
Adcy8,ENSMUSG00000022376,2.6874206406114425
Adcy9,ENSMUSG00000005580,2.5381335658491224
Adh1,ENSMUSG00000074207,3.344482
Adh4,ENSMUSG00000037797,1.7025125870597293
Adh5,ENSMUSG00000028138,2.225565370553679
Adh6b,ENSMUSG00000074206,2.2642598551930297
Adh7,ENSMUSG00000055301,3.344482
Adhfe1,ENSMUSG00000025911,3.175705693
Adi1,ENSMUSG00000020629,1.4179602125348334
Adk,ENSMUSG00000039197,2.8493771914148844
Ado,ENSMUSG00000057134,1.4561946492502074
Adpgk,ENSMUSG00000025236,1.9944689001587184
Adprh,ENSMUSG00000002844,1.940166460892654
Adprm,ENSMUSG00000020910,1.4169289072904323
Adsl,ENSMUSG00000022407,1.5535138160916224
Adss1,ENSMUSG00000011148,2.097464765669147
Adss2,ENSMUSG00000015961,1.7309688914948604
Afmid,ENSMUSG00000017718,1.4672457927966178
Aga,ENSMUSG00000031521,1.7973743563661917
Agk,ENSMUSG00000029916,1.6472316886788358
Agl,ENSMUSG00000033400,2.178388411742082
Agmat,ENSMUSG00000040706,1.093267910628829
Agpat1,ENSMUSG00000034254,1.3030740027759942
Agpat2,ENSMUSG00000026922,1.8654043016285295
Agpat3,ENSMUSG00000001211,2.207174988649289
Agpat4,ENSMUSG00000023827,2.132984100028107
Agpat5,ENSMUSG00000031467,1.898719552522997
Agps,ENSMUSG00000042410,2.127782655826071
Agxt,ENSMUSG00000026272,3.344482
Agxt2,ENSMUSG00000089678,2.7098166274561697
Ahctf1,ENSMUSG00000026491,1.8854068167348856
Ahcy,ENSMUSG00000027597,1.4304489786623018
